video_name,frame_id,shed_decision
seed949563-2-train,101,True
seed10484-1-train,101,True
seed335500-0-train,101,True
seed949563-1-train,106,True
seed949563-0-train,106,True
seed10484-3-train,106,True
seed949563-2-train,106,True
seed10484-1-train,106,True
seed335500-0-train,106,True
seed949563-3-train,107,True
seed949563-1-train,107,False
seed949563-0-train,107,True
seed10484-3-train,107,True
seed949563-2-train,107,True
seed10484-1-train,107,True
seed335500-0-train,107,True
seed949563-3-train,108,True
seed949563-1-train,108,True
seed949563-0-train,108,True
seed10484-3-train,108,True
seed949563-2-train,108,True
seed10484-1-train,108,True
seed335500-0-train,108,True
seed949563-3-train,109,True
seed949563-1-train,109,True
seed949563-0-train,109,False
seed10484-3-train,109,False
seed10484-1-train,110,True
seed335500-0-train,110,True
seed949563-3-train,111,True
seed949563-1-train,111,True
seed949563-0-train,111,True
seed10484-3-train,111,True
seed949563-2-train,111,True
seed949563-2-train,109,False
seed10484-1-train,109,False
seed949563-3-train,112,True
seed949563-1-train,112,True
seed949563-0-train,112,True
seed10484-3-train,112,True
seed949563-2-train,112,True
seed10484-1-train,112,True
seed335500-0-train,112,True
seed949563-3-train,113,True
seed949563-1-train,113,True
seed949563-0-train,113,True
seed10484-3-train,113,True
seed949563-2-train,113,True
seed10484-1-train,113,True
seed335500-0-train,113,True
seed949563-3-train,114,True
seed949563-1-train,114,True
seed949563-0-train,114,True
seed10484-3-train,114,True
seed949563-2-train,114,True
seed10484-1-train,114,True
seed335500-0-train,114,True
seed949563-3-train,115,True
seed949563-1-train,115,True
seed949563-0-train,115,True
seed10484-3-train,115,True
seed949563-2-train,115,True
seed10484-1-train,115,True
seed335500-0-train,115,True
seed949563-3-train,116,True
seed949563-1-train,116,True
seed949563-0-train,116,True
seed10484-3-train,116,True
seed949563-2-train,116,True
seed10484-1-train,116,True
seed335500-0-train,116,True
seed949563-3-train,117,True
seed335500-0-train,109,False
seed949563-3-train,110,True
seed949563-1-train,110,True
seed949563-0-train,110,True
seed10484-3-train,110,False
seed949563-2-train,110,True
seed10484-1-train,111,True
seed335500-0-train,111,True
