video,segment_id,frame_id,threshold,utility,shed_decision,useful_gt,shedder_begin,shedder_end,filter_begin,filter_end,detection_begin,detection_end,det_filter_begin,det_filter_end,det_sink_begin,det_sink_end
test_video-train-or-red-red_model-0.33-3000,1,159,0.0006453427459361941,-0.00022135156924848838,true,false,1639510746392719532,1639510746615009037,1639510746615052539,1639510746625183726,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,162,0.0006453427459361941,-0.00022317560127499273,true,false,1639510746677501310,1639510746907602437,1639510746907643938,1639510746923728195,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,165,0.0006706785443693664,-0.00022259512195121943,true,false,1639510746969957606,1639510747192589422,1639510747192672724,1639510747202877713,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,168,0.000657973337510232,-0.0002240745449292112,true,false,1639510747256534335,1639510747477766811,1639510747477878114,1639510747487653392,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,171,0.000657973337510232,-0.00022253142037302717,true,false,1639510747539926075,1639510747763140007,1639510747763182208,1639510747772994986,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,174,0.0006706785443693664,-0.0002240098209127672,true,false,1639510747825206467,1639510748045489516,1639510748045563018,1639510748056231221,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,177,0.000657973337510232,-0.00022253142037302717,true,false,1639510748107776483,1639510748327965029,1639510748328100733,1639510748340392382,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,180,0.0006337101668690907,-0.00022465874855156432,true,false,1639510748390304998,1639510748625598472,1639510748625696975,1639510748636244674,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,183,0.000657973337510232,-0.00022202175780131693,true,false,1639510748687766936,1639510748920398435,1639510748920444036,1639510748930942034,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,186,0.0006832763093795495,-0.00022478898550724633,true,false,1639510748982415994,1639510749202759845,1639510749202868648,1639510749213122139,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,189,0.0006832763093795495,-0.00022253142037302717,true,false,1639510749265030012,1639510749486214586,1639510749486309189,1639510749504384502,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,192,0.0007081545111483615,-0.0002241393063583815,true,false,1639510749548756860,1639510749775778100,1639510749775917804,1639510749786559206,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,195,0.0007197496240906925,-0.00022253142037302717,true,false,1639510749837968465,1639510750062190325,1639510750062252727,1639510750072764025,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,198,0.0006957678818646061,-0.00017503453077137292,true,false,1639510750124444491,1639510750347794327,1639510750347837929,1639510750363175264,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,201,0.0006832763093795495,-0.00017503453077137292,true,false,1639510750410227099,1639510750636045005,1639510750636089406,1639510750646111590,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,204,0.0006957678818646061,-0.00022540752625437572,true,false,1639510750698455175,1639510750921418600,1639510750921469102,1639510750931507886,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,207,0.0006832763093795495,-0.0002212462121212121,true,false,1639510750985608021,1639510751211723236,1639510751211762637,1639510751221714119,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,210,0.0006706785443693664,-0.00022039687590396306,true,false,1639510751273627892,1639510751497725049,1639510751497775651,1639510751507802335,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,213,0.0006706785443693664,-0.00022716822157434403,true,false,1639510751560212422,1639510751789158017,1639510751789745733,1639510751798702988,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,216,0.0006706785443693664,-0.00022135156924848838,true,false,1639510751843612062,1639510752065611159,1639510752065671361,1639510752075332335,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,219,0.0006706785443693664,-0.0002230211778357993,true,false,1639510752129840181,1639510752353139316,1639510752353186518,1639510752363938823,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,222,0.0006706785443693664,-0.00022135156924848838,true,false,1639510752415315080,1639510752636360651,1639510752636411752,1639510752646020025,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,225,0.000657973337510232,-0.00022244039351851862,true,false,1639510752698581416,1639510752918758962,1639510752918896066,1639510752928859749,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,228,0.0006453427459361941,-0.0002210969226344551,true,false,1639510752981011128,1639510753209577313,1639510753209651015,1639510753217269431,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,231,0.0006337101668690907,-0.00022263365189690136,true,false,1639510753267661060,1639510753490585785,1639510753490662587,1639510753500304760,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,234,0.0006337101668690907,-0.00022135156924848838,true,false,1639510753553077557,1639510753776439694,1639510753776495296,1639510753794242299,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,237,0.0006453427459361941,-0.00022276267748478696,true,false,1639510753838648159,1639510754059581027,1639510754059618028,1639510754074718756,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,240,0.0006706785443693664,-0.00022135156924848838,true,false,1639510754121764691,1639510754350912791,1639510754350959093,1639510754362702026,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,243,0.0006957678818646061,-0.00022289185271093066,true,false,1639510754413169058,1639510754640644911,1639510754640775915,1639510754650933303,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,246,0.0006957678818646061,-0.00022135156924848838,true,false,1639510754702873776,1639510754930424032,1639510754930514935,1639510754946932600,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,249,0.0007294940167727948,-0.00022276267748478696,true,false,1639510754992660998,1639510755220151551,1639510755220202353,1639510755228484988,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,252,0.0007197496240906925,-0.00022135156924848838,true,false,1639510755281235084,1639510755507452402,1639510755507535705,1639510755520702578,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,255,0.0007197496240906925,-0.00022289185271093066,true,false,1639510755569599265,1639510755791873971,1639510755791914572,1639510755802105961,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,258,0.0007081545111483615,-0.00022135156924848838,true,false,1639510755859331385,1639510756074675194,1639510756074789898,1639510756085108590,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,261,0.0006832763093795495,-0.00022317560127499273,true,false,1639510756136769556,1639510756356362886,1639510756356397387,1639510756366216465,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,264,0.0006453427459361941,-0.00022259512195121943,true,false,1639510756418593151,1639510756641304470,1639510756645704295,1639510756655319167,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,267,0.0006453427459361941,-0.0002240745449292112,true,false,1639510756703696140,1639510756924678609,1639510756924797012,1639510756935228308,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,270,0.000621977142166456,-0.00022253142037302717,true,false,1639510756986654067,1639510757212898286,1639510757212951588,1639510757224167406,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,273,0.0006337101668690907,-0.0002240098209127672,true,false,1639510757274523234,1639510757502941715,1639510757502994416,1639510757516992713,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,276,0.0006706785443693664,-0.00022253142037302717,true,false,1639510757561763884,1639510757782118535,1639510757782161536,1639510757791965014,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,279,0.0006706785443693664,-0.00022465874855156432,true,false,1639510757844739712,1639510758076301281,1639510758076355883,1639510758086563472,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,282,0.0006832763093795495,-0.00022202175780131693,true,false,1639510758145134234,1639510758359413613,1639510758359545017,1639510758369162090,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,285,0.0006832763093795495,-0.00022478898550724633,true,false,1639510758421528976,1639510758642094233,1639510758650735278,1639510758659617430,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,288,0.0006832763093795495,-0.00022253142037302717,true,false,1639510758704331899,1639510758924223038,1639510758924260039,1639510758933883712,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,291,0.0006453427459361941,-0.0002241393063583815,true,false,1639510758989786098,1639510759210185351,1639510759212590619,1639510759221180963,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,294,0.000657973337510232,-0.00022253142037302717,true,false,1639510759272339114,1639510759501322411,1639510759501406913,1639510759510759278,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,297,0.0006453427459361941,-0.00017503453077137292,true,false,1639510759563918486,1639510759806636473,1639510759806710375,1639510759808378822,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,300,0.0006832763093795495,-0.00017503453077137292,true,false,1639510759859835482,1639510760082597602,1639510760082639103,1639510760093354707,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,303,0.0006832763093795495,-0.00022540752625437572,true,false,1639510760145008373,1639510760376843250,1639510760376881751,1639510760391012752,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,306,0.0007197496240906925,-0.0002212462121212121,true,false,1639510760440847666,1639510760669582356,1639510760669714159,1639510760679601740,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,309,0.0007294940167727948,-0.00022039687590396306,true,false,1639510760731702818,1639510760951808463,1639510760951895565,1639510760961854948,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,312,0.0007081545111483615,-0.00022716822157434403,true,false,1639510761014026628,1639510761238884208,1639510761238942609,1639510761248863491,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,315,0.0006832763093795495,-0.00022135156924848838,true,false,1639510761301430182,1639510761529593556,1639510761529636757,1639510761539596640,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,318,0.0006957678818646061,-0.0002230211778357993,true,false,1639510761592138130,1639510761819987295,1639510761820093798,1639510761830057680,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,321,0.0006832763093795495,-0.00022135156924848838,true,false,1639510761882039555,1639510762105737902,1639510762105786203,1639510762115136969,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,324,0.000657973337510232,-0.00022244039351851862,true,false,1639510762167800363,1639510762388722831,1639510762391064197,1639510762398669113,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,327,0.0006706785443693664,-0.0002210969226344551,true,false,1639510762451148902,1639510762672590785,1639510762674919451,1639510762686152370,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,330,0.0006706785443693664,-0.00022263365189690136,true,false,1639510762734885352,1639510762955068499,1639510762955107301,1639510762964446866,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,333,0.0006453427459361941,-0.00022135156924848838,true,false,1639510763023798249,1639510763241619330,1639510763241693832,1639510763255690629,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,336,0.0006453427459361941,-0.00022276267748478696,true,false,1639510763301428727,1639510763521657775,1639510763521698276,1639510763532013069,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,339,0.0006337101668690907,-0.00022135156924848838,true,false,1639510763583871940,1639510763804120389,1639510763804197691,1639510763816374337,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,342,0.0006453427459361941,-0.00022289185271093066,true,false,1639510763866201951,1639510764092936984,1639510764093033386,1639510764103273977,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,345,0.0006453427459361941,-0.00022135156924848838,true,false,1639510764155354355,1639510764383184219,1639510764383313922,1639510764398736260,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,348,0.0006832763093795495,-0.00022276267748478696,true,false,1639510764447611547,1639510764674436682,1639510764674499184,1639510764684687073,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,351,0.0006832763093795495,-0.00022135156924848838,true,false,1639510764737905483,1639510764969081842,1639510764969140044,1639510764979679643,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,354,0.0007197496240906925,-0.00022289185271093066,true,false,1639510765031701619,1639510765265542954,1639510765265591555,1639510765273252373,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,357,0.0007294940167727948,-0.00022135156924848838,true,false,1639510765325920967,1639510765554896364,1639510765554948265,1639510765565131054,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,360,0.000739157453271036,-0.00022317560127499273,true,false,1639510765619277090,1639510765843963565,1639510765844004267,1639510765853637840,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,363,0.0007294940167727948,-0.00022259512195121943,true,false,1639510765906429838,1639510766136264159,1639510766136348961,1639510766146021636,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,366,0.0007197496240906925,-0.0002240745449292112,true,false,1639510766198920837,1639510766439637767,1639510766439773871,1639510766453376457,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,369,0.0007487412661974963,-0.00022253142037302717,true,false,1639510766501873133,1639510766728851673,1639510766728903474,1639510766745432943,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,372,0.0007487412661974963,-0.0002240098209127672,true,false,1639510766790898033,1639510767018988605,1639510767019032606,1639510767028804783,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,375,0.0007487412661974963,-0.00022253142037302717,true,false,1639510767074494780,1639510767303700183,1639510767303744385,1639510767313819770,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,378,0.0007487412661974963,-0.00022465874855156432,true,false,1639510767365922349,1639510767607187094,1639510767607231096,1639510767617093975,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,381,0.000776735604988766,-0.00022202175780131693,true,false,1639510767670002977,1639510767906988001,1639510767907038702,1639510767916968184,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,384,0.0007582461218582154,-0.00022478898550724633,true,false,1639510767971433829,1639510768194030045,1639510768194108048,1639510768203979728,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,387,0.0007487412661974963,-0.00022253142037302717,true,false,1639510768256186609,1639510768476260753,1639510768476303155,1639510768486132834,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,390,0.0007294940167727948,-0.0002241393063583815,true,false,1639510768538369716,1639510768766739196,1639510768766781997,1639510768778171720,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,393,0.0007294940167727948,-0.00022253142037302717,true,false,1639510768829081264,1639510769052950617,1639510769052987918,1639510769062676393,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,396,0.0006957678818646061,-0.00017503453077137292,true,false,1639510769117573950,1639510769341681709,1639510769341728910,1639510769359468814,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,399,0.0006832763093795495,-0.00017503453077137292,true,false,1639510769404162982,1639510769631207924,1639510769631246825,1639510769640670993,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,402,0.0006832763093795495,-0.00022540752625437572,true,false,1639510769693389889,1639510769917257541,1639510769917384244,1639510769930986130,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,405,0.0007081545111483615,-0.0002212462121212121,true,false,1639510769979916919,1639510770215736810,1639510770215777111,1639510770227012430,,,,,,
test_video-train-or-red-red_model-0.33-3000,1,408,0.0007197496240906925,-0.00022039687590396306,true,false,1639510770278249484,1639510770513480158,1639510770513522760,1639510770530314736,,,,,,
